stock_code,company_name,industry,address,market_type,market_cap_recent
A000020,동화약품,N35202.제약,(04516) 서울시 중구 서소문로9길 20,코스피,177085519800
A000040,KR모터스,N20305.운송인프라,(51573) 경남 창원시 성산구 완암로 28,코스피,41805589056
A000050,경방,N25500.소매,(07305) 서울시 영등포구 영중로 15,코스피,197664096700
A000070,삼양홀딩스,N40000.금융,(03129) 서울시 종로구 종로33길 31,코스피,898339213400
A000080,하이트진로,N30201.음료,(06075) 서울시 강남구 영동대로 714,코스피,1333941281220
A0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),,,코스피,56650000000
A0000H0,KODEX 인도Nifty미드캡100,,,코스피,20754000000
A0000J0,PLUS 한화그룹주,,,코스피,155880000000
A0000Y0,HK 26-12 회사채(AA-이상)액티브,,,코스피,123855925000
A0000Z0,RISE 바이오TOP10액티브,,,코스피,27336000000
A000100,유한양행,N35202.제약,(06927) 서울시 동작구 노량진로 74,코스피,9996054625000
A000120,CJ대한통운,N20304.도로 및 선로,(03157) 서울시 종로구 종로5길 7,코스피,2155766508000
A000140,하이트진로홀딩스,N40000.금융,(06075) 서울시 강남구 영동대로 714,코스피,234388326500
A000150,두산,N40201.다각화된 금융 서비스,(04563) 서울시 중구 장충단로 275,코스피,14970594510000
A000180,성창기업지주,N15105.종이와 임산물,(49526) 부산시 사하구 다대로 627,코스피,101139820000
A0001P0,마이티 바이오시밀러&CDMO액티브,,,코스피,13537200000
A0001S0,TIGER 26-04 회사채(A+이상)액티브,,,코스피,229985280000
A000210,DL,N15101.화학,"(07800) 서울시 강서구 공항대로 165, 에이동(마곡동,원그로브)",코스피,873860362800
A000220,유유제약,N35202.제약,(27159) 충북 제천시 바이오밸리1로 94,코스피,71535874200
A000230,일동홀딩스,N35202.제약,(06752) 서울시 서초구 바우뫼로27길 2,코스피,165489336000
A000240,한국앤컴퍼니,N40000.금융,(13494) 경기 성남시 분당구 판교로 286,코스피,2615465862000
A000250,삼천당제약,N35202.제약,(18622) 경기 화성시 향남읍 제약공단2길 71,코스닥,5313117408000
A000270,기아,N25102.자동차,(06797) 서울시 서초구 헌릉로 12,코스피,46073344590000
A0002C0,에셋플러스 인도일등기업포커스20액티브,,,코스피,11761200000
A000300,DH오토넥스,N45201.통신장비,(54336) 전북 김제시 용지면 용지로 55,코스피,162944308992
A000320,노루홀딩스,N40201.다각화된 금융 서비스,(13977) 경기 안양시 만안구 박달로 351,코스피,316329393800
A000370,한화손해보험,N40301.보험,(07325) 서울시 영등포구 여의대로 56,코스피,663077037200
A000390,삼화페인트,N20102.건축 제품,(15619) 경기 안산시 단원구 별망로 178,코스피,158052154890
A000400,롯데손해보험,N40301.보험,(04528) 서울시 중구 소월로 3,코스피,561708739200
A000430,대원강업,N25101.자동차 부품,(31042) 충남 천안시 서북구 성거읍 오송1길 114-41,코스피,246760000000
A000440,중앙에너비스,"N10102.석유, 가스, 소모 연료",(04418) 서울시 용산구 한남대로 82,코스닥,99322723500
A000480,CR홀딩스,N15104.금속과 채광,"(57816) 전남 광양시 산업로 55, 본관 3층",코스피,227418876500
A000490,대동,N20106.기계,(42984) 대구시 달성군 논공읍 논공중앙로34길 35,코스피,244132086500
A0004G0,1Q 미국배당TOP30,,,코스피,5487000000
A0004Y0,디비금융제14호스팩,N40200.다각화된 금융,(07331) 서울시 영등포구 국제금융로8길 32,코스닥,10608740000
A000500,가온전선,N20104.전기장비,(15841) 경기 군포시 엘에스로45번길 120,코스피,1217573264000
A000520,삼일제약,N35202.제약,(06666) 서울시 서초구 효령로 155,코스피,222124144640
A000540,흥국화재,N40301.보험,(03184) 서울시 종로구 새문안로 68,코스피,249903889050
A000590,CS홀딩스,N40000.금융,(37863) 경북 포항시 남구 괴동로 43,코스피,88317873000
A0005A0,KODEX 미국S&P500데일리커버드콜OTM,,,코스피,108835500000
A0005C0,RISE 미국S&P500엔화노출(합성 H),,,코스피,8976000000
A0005D0,SOL 전고체배터리&실리콘음극재,,,코스피,37111500000
A0005G0,ITF K-AI반도체코어테크,,,코스피,16731000000
A000640,동아쏘시오홀딩스,N40201.다각화된 금융 서비스,(02587) 서울시 동대문구 천호대로 64,코스피,702666655000
A000650,천일고속,N20304.도로 및 선로,(48822) 부산시 동구 중앙대로 168,코스피,53738672000
A000660,SK하이닉스,N45301.반도체 및 반도체장비,(17336) 경기 이천시 부발읍 경충대로 2091,코스피,407681324400000
A000670,영풍,N15104.금속과 채광,(06110) 서울시 강남구 강남대로 542,코스피,1054786440000
A000680,LS네트웍스,"N25203.섬유, 의류, 사치품","(50924) 경남 김해시 호계로 428, 1층",코스피,279356691720
A000700,유수홀딩스,N20105.복합기업,"(07328) 서울시 영등포구 여의나루로 60, 9층",코스피,146615401560
A000720,현대건설,N20103.건설 및 엔지니어링,(03058) 서울시 종로구 율곡로 75,코스피,6993142042000
A000760,이화산업,N15101.화학,(04537) 서울시 중구 삼일대로 299,코스피,34020000000
A0007F0,KODEX 27-12 회사채(AA-이상)액티브,,,코스피,520606800000
A0007G0,PLUS 글로벌원자력밸류체인,,,코스피,52377500000
A0007N0,아이엠에셋 200,,,코스피,54420750000
A000810,삼성화재,N40301.보험,(06620) 서울시 서초구 서초대로74길 14,코스피,22752516147500
A000850,화천기공,N20106.기계,(62227) 광주시 광산구 하남산단4번로 123-17,코스피,68420000000
A000860,강남제비스코,N20102.건축 제품,"(47351) 부산시 부산진구 중앙대로 639, 18층",코스피,165750000000
A000880,한화,N15101.화학,(04541) 서울시 중구 청계천로 86,코스피,6663831541500
A000890,보해양조,N30201.음료,(58728) 전남 목포시 호남로68번길 36,코스피,61212856760
A0008E0,ACE 미국중심중소형제조업,,,코스피,12673000000
A0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,,,코스피,155282500000
A0008T0,SOL 화장품TOP3플러스,,,코스피,100720000000
